epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,0.5,0.4,0.3,0.813,0.807,0.771,0.75,0.4,0.3,0.2,0.01,0.01,0.01
30,0.5,0.4,0.3,0.820,0.814,0.780,0.75,0.4,0.3,0.2,0.01,0.01,0.01
31,0.5,0.4,0.3,0.828,0.821,0.790,0.75,0.4,0.3,0.2,0.01,0.01,0.01
32,0.5,0.4,0.3,0.835,0.829,0.799,0.75,0.4,0.3,0.2,0.01,0.01,0.01
33,0.5,0.4,0.3,0.842,0.836,0.808,0.75,0.4,0.3,0.2,0.01,0.01,0.01
34,0.5,0.4,0.3,0.850,0.843,0.818,0.75,0.4,0.3,0.2,0.01,0.01,0.01
35,0.5,0.4,0.3,0.857,0.850,0.827,0.75,0.4,0.3,0.2,0.01,0.01,0.01
36,0.5,0.4,0.3,0.864,0.857,0.836,0.75,0.4,0.3,0.2,0.01,0.01,0.01
37,0.5,0.4,0.3,0.872,0.864,0.846,0.75,0.4,0.3,0.2,0.01,0.01,0.01
38,0.5,0.4,0.3,0.879,0.871,0.855,0.75,0.4,0.3,0.2,0.01,0.01,0.01
39,0.5,0.4,0.3,0.887,0.879,0.865,0.75,0.4,0.3,0.2,0.01,0.01,0.01
40,0.5,0.4,0.3,0.894,0.886,0.874,0.75,0.4,0.3,0.2,0.01,0.01,0.01
41,0.5,0.4,0.3,0.901,0.893,0.883,0.75,0.4,0.3,0.2,0.01,0.01,0.01
42,0.5,0.4,0.3,0.909,0.900,0.893,0.75,0.4,0.3,0.2,0.01,0.01,0.01
43,0.5,0.4,0.3,0.916,0.907,0.902,0.75,0.4,0.3,0.2,0.01,0.01,0.01
44,0.5,0.4,0.3,0.923,0.914,0.911,0.75,0.4,0.3,0.2,0.01,0.01,0.01
45,0.5,0.4,0.3,0.931,0.921,0.921,0.75,0.4,0.3,0.2,0.01,0.01,0.01
46,0.5,0.4,0.3,0.938,0.929,0.930,0.75,0.4,0.3,0.2,0.01,0.01,0.01
47,0.5,0.4,0.3,0.945,0.936,0.939,0.75,0.4,0.3,0.2,0.01,0.01,0.01
48,0.5,0.4,0.3,0.953,0.943,0.949,0.75,0.4,0.3,0.2,0.01,0.01,0.01
49,0.5,0.4,0.3,0.960,0.950,0.958,0.75,0.4,0.3,0.2,0.01,0.01,0.01
